책제목,글쓴이,출판사,출판년,대여료
"철학, 죽음을 말하다",정동호...[등]지음,산헤,2004,2091
걱정쟁이 열세 살 : 최나미 장편동화,최나미,사계절,2006,4047
잘나가는 공무원은 무엇이 다른가 : 살아남고 싶다면 반드시 습득해야 할 처세의 비법,이보규 ; 최성열 지음,행복에너지,2013,5912
이스라엘-팔레스타인 분쟁의 이미지와 현실,노먼 핀켈슈타인 지음 ; 김병화 옮김,돌베개,2004,4412
번역의 이해,이은숙 지음,도서출판 동인,2009,7707
성 상담,조이스 페너 ; 클리포드 페너 [공]저 ; 김의식 역 ; 게리 콜린스 책임 편집,두란노,2002,9644
"왜 사냐면, 웃지요",김열규,궁리,2003,3790
지도의 상상력,와카바야시 미키오 지음 ; 정선태 옮김,산처럼,2006,5453
쉿! 우표만 알고 있는 유네스코 세계 유산 엿보기,김경희 글  ; 유남영 그림,글고은,2012,8295
초등학생이 꼭 읽어야 할 16가지 몽골 교과서 동화,학은미디어 편집부 글  ; 강인춘 그림  ; 홍세은 역,학은미디어,2012,7866
와신상담. 6,리선샹 지음 ; 하진이 옮김,휘닉스드림,2007,2193
역사가에게 묻다  : 굴절된 한일 현대사의 뿌리 찾기,김효순 지음,서해문집,2011,2802
당신이 궁금한 우리말 잉글리쉬 : 기초회화,토마토영어연구소 [지음],tomato,2011,4223
꽃,윤후명 저,문학동네,2011,2449
고사성어랑 일촌맺기,기획집단MOIM 구성 ; 신동민 그림,서해문집,2007,2878
자주 묻는 통일이야기 50,통일부 통일교육원 [편],통일부 통일교육원,2008,1573
(대대손손 물려줄)우리 국보와 보물,유송아 지음  ; 김은미 그림,주니어RHK,2012,4227
진화의 종말 : 세계적인 진화생물학자의 환경 보고서,"폴 에얼릭, 앤 에얼릭 지음 ; 하윤숙 옮김",부키,2011,5653
녹지대 : 박경리 장편소설. 1,박경리 지음,현대문학,2012,9854
한국 현대무용사의 인물들,대담 문애령,눈빛,2001,7918
빙빙 돌아라,이상희 글  ; 김효은 그림,비룡소,2012,6953
(구석구석)지구촌 여행,"베이용, 베아트리스",베틀북,2012,7424
김대중을 생각한다,강원택 외 지음,삼인,2011,5679
"꼭 읽어야 할 세계단편. 3, 영국편",송승환 편저  / 송승환 편저,타임기획,2000,4928
카툰 지리,유상철 글 ; 윤병철 그림,황금비율,2012,9734
(10대와 통하는) 부동산 : 청소년이 꼭 알아야할 집과 땅 이야기,손낙구,철수와영희,2011,6702
친밀감이 부부갈등의 벽을 허문다 : 신뢰와 친밀감을 회복시켜주는 정서중심 부부치료,성혜옥 지음,예영커뮤니케이션,2011,9031
터너,클라렌스 존스저 ; 박영란 역,한국프뢰벨주식회사,1998,1851
(이기적 in)ITQ 파워포인트 Office 2007  : 기본서,영진정보연구소 저,영진닷컴,2011,8426
사진구도,윤준성 ; 웰기획 [공]지음,사이버출판사,2009,8698
너도 리더가 되고 싶니?,고수유 글 ; 이일선 그림,거인,2009,4891
"완전한 승리, 바다의 지배자  : 최초의 해상 제국과 민주주의의 탄생",존 R. 헤일 지음  ; 이순호 옮김,다른세상,2011,6031
사회복지 가치와 윤리,"Elaine P. Congress 지음 ; 강선경, 김욱 [공]옮김",시그마프레스,2011,1714
병 안 걸리고 사는 법,신야 히로미 지음 ; 이근아 옮김,이아소,2007,7028
숲은 어떻게 만들어지는가?,윌리엄 재스퍼슨 글 ; 척 에카르트 그림 ; 이은주 옮김,비룡소,2005,1838
현대사회지리학,최병두 지음,한울아카데미,2006,8764
어울림을 배우다  : 21세기에 다시 읽는 사자소학,김태완 지음 ; 이우일 그림,호미,2010,4994
"과학, 역사 그리고 과학사",김영식 지음,생각의나무,2008,7646
장미와 에델바이스,"로제 팔리고 저  ; 우석훈, 이재형 [공]옮김",오픈하우스,2011,9611
한국 가정 요리 : 인도네시아어판,대우증권사회봉사단 엮음,부키,2012,1575
샘 괴롭히기 프로젝트,이윤학 지음 ; 전종문 그림,문학과지성사,2009,7990
학교 컨설팅,진동섭 지음,학지사,2002,6383
스완 송. 1 : 운명의 바퀴가 돌다,로버트 매캐먼 지음 ; 서계인 옮김,검은숲,2011,4410
언어혁명,임근수 지음,지상사,2005,9327
ARM Cortex-M0 Nuvoton NuMicro 펌웨어개발,"김형태, 오현교 [공]저",내하,2011,3182
이토록 뜨거운 파랑 : 신여랑 장편소설,신여랑,창비,2010,5227
사자는 쥐와 겨루지 않는다,난광원 지음 ; 김유경 옮김,아르고스,2010,9085
통쾌수능 : 엄마가 만드는 3등급 내 아이 일류대 보내기,한상희 지음,생각의나무,2010,6886
따로 또 같이,이현수 외 지음,수필과비평사,2011,3334
청소년 상담  : 이론과 실제,"정순례, 양미진, 손재환 지음",북카페,2010,2102
나를 기억하고 있는 너에게,윤상 지음 ; 김기홍 사진,엘컴퍼니,2009,6183
"위대한 기업, 로마에서 배운다",김경준 지음,원앤원북스,2007,1612
"청소년, 시와 대화하다",김규중 지음,사계절,2010,1331
민족주의 길들이기 : 로마 몰락에서 유럽통합까지 다시 쓰는 민족주의의 역사,장문석 지음,지식의풍경,2007,1021
행운을 부르는 여자의 습관,오하라 게이코 지음 ; 정난진 옮김,눈과마음,2006,8954
마음지도  : 나를 찾아 떠나는 치유 여행,콜레트 배런 레이드 지음  ; 이민주 옮김,문학수첩,2012,7378
"대한민국 대표 여행지 1000. [2], 전라도·제주도",유연태 외저,넥서스Books,2011,9795
퇴계 달중이를 만나다,김은미 ; 김영우 [공]지음,미딤돌,2005,3968
색다른 색 이야기 : 우리 안의 색을 찾는 천연염색,조미숙 지음,이매진,2007,7696
(눈으로 보고 손으로 길들이는)포토샵 CS5,신소영  ; 백대은 [공]저,정보문화사,2011,1338
딴짓의 재발견,니콜라 비트코프스키 지음  ; 양진성 옮김,애플북스,2012,7854
세계와 미국,이삼성 지음,한길사,2001,8489
(내 삶의 작은 기적)그날들,윌리 로니스 지음  ; 류재화 옮김,이봄,2011,9317
더 단순하게 살아라,로타르 J. 자이베르트 지음 ; 백종유 옮김,좋은생각,2011,8882
감자 : 김동인 단편선,김동인 지음 ; 정호웅 엮음,현대문학,2011,8214
인문으로 읽는 주역,신원봉 지음,부키,2009,3436
(양영순의)천일야화. 2 : 아무도 이 섬을 벗아날수 없다,양영순 글.그림,김영사,2010,9324
그대는 불멸의 존재다  : 생사의 쳇바퀴를 벗어나게 하는 예수의 진정한 가르침,개리 레너드 지음  ; 강형규 옮김,정신세계사,2012,7733
"로베스피에르, 혁명의 탄생",장 마생 지음 ; 양희영 옮김,교양인,2005,4371
내 아내의 에로틱한 잠재력 : 다비드 포앙키노스 장편소설,다비드 포앙키노스 지음 ; 김경태 옮김,문학동네,2008,7614
그 순간 역사가 움직였다,에드윈 무어 지음 ; 차미례 옮김,미래인,2009,2222
미국의 민주주의. 1,알렉시스 드 토크 빌 지음 ; 임효선 ; 박지동 [공]옮김,한길사,2005,7859
"This is Art : 1,100점의 도판으로 설명하는 세계미술","스티븐 파딩 책임편집 ; 리처드 코크 서문 ; 하지은, 이사빈, 이승민 [공]옮김",마로니에북스,2011,2793
(한국인을 위한)교양사전,강준만 저,인물과사상사,2005,5406
(Why?)수와 수학,조영선 글 ; 송회석 그림,예림당,2011,9543
의지력의 재발견,"로이 F. 바우마이스터, 존 티어니 [공]지음 ; 이덕임 옮김",에코리브르,2012,1603
피의 광장 : 로마 공화정을 위한 투쟁,파멜라 마린 지음 ; 추미란 옮김,책우리,2009,4074
(참교육자)마리아 몬테소리,지구르트 헤벤슈트라이트 지음 ; 이명아 옮김,문예출판사,2005,9032
창의적인 수업 아이디어 56가지,우리교육 엮음,우리교육,2008,9519
나는 주목받는 20대이고 싶다,스스끼 겐지 지음  ; 이정빈 옮김,지성문화사,2012,7919
한국 구전신화의 세계,권태효 지음,지식산업사,2005,4323
원예반 소년들,우오즈미 나오코,양철북,2012,5918
삼한지. 6 : 새로운 영웅들,김정산 [저],위즈덤하우스,2006,2984
도둑괭이 공주 : 황인숙 장편소설,황인숙 지음,문학동네,2011,2727
내 스무살을 울린 책,김윤식...[등]지음,작가정신,2007,3631
율리시스 무어. 05 : 영원한 젊음,피에르도메니코 바칼라리오 지음 ; 이현경 옮김,웅진주니어,2007,1226
"스위스·오스트리아·동유럽 부부 렌터카 여행. 상, 스위스.오스트리아.체코 편",김선균 지음,통일신문사,2011,2411
2020 중국 리스크 : 중국 경제 중장기 예측과 리스크 분석,이근 ; 김병국 공편,동아시아연구원,2007,7642
눈이 내려,프랭클린 M.브랜리 글  ; 할리 켈러 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,6061
(스코트 니어링의)희망,스코트 니어링 씀 ; 김라합 옮김,보리,2005,8868
교실영어 표현사전,소네다 겐조  ; 부르스 퍼킨스 [공]지음  ; 안윤선 옮김,위즈덤트리,2012,8785
누가 미모자를 그렸나 : 손미나의 로드 무비 fiction,손미나 지음,웅진지식하우스,2011,8157
눈물은 남자를 살린다 : 가슴으로 울고 있는 중년을 위한 마음 처방전,이홍식 지음,다산북스,2012,3758
벌레구멍 속으로,문선이 글 ; 한수진 그림,시공주니어,2005,2401
(에세이)동양문화사,양필승 지음,백산서당,2008,7458
호기심소녀 별이와 괴짜삼촌의 지구탐험기,김현빈 지음 ; 아메바 피쉬 일러스트레이션,살림,2007,6093
"세계사를 보다 : 스토리텔링과 이미지의 역사여행. 2, 고대.중세",박찬영 ; 버질 힐라이어 [공]지음,리베르스쿨,2010,9065
(아래로부터의)한일 평화 교육,강순원 엮음,커뮤니티,2005,7702
"위험한 이웃, 중국과 일본",리처드 C.부시 지음 ; 김규태 옮김,에코리브르,2013,6894
검은 천사 하얀 악마,김융희 지음,시공사,2005,5834
씨네 폴리틱스  : 영화는 다 정치적이다,박종성 지음,인간사랑,2008,6993
(Why？)빛과 소리,조영선 글 ; 이영호 만화,예림당,2010,1914
조선왕릉 : 잠들지 못하는 역사. 1,이우상 글 ; 최진연 사진,다할미디어,2010,5318
잉카 사람들은 어떻게 살았을까?,베르트랑 플르노와 지음 ; 이혜경 엮음 ; 오성봉 그림,청솔,2004,7622
즐거운 한국 근현대사 수업,김은석 지음,살림터,2010,8306
(고우영)열국지. 3,고우영 지음,자음과모음,2006,3788
인도 경제를 해부한다 : 인도 진출을 위한 현장 보고서,삼성경제연구소 ; KOTRA 지음,삼성경제연구소,2006,2699
애거서 크리스티 전집. 15 : 쥐덫,애거서 크리스티 지음 ; 김남주 옮김,황금가지,2009,3862
이제와 돌아보니 행복이었네라,배명인 지음,대원사,2002,5549
바바빠빠,아네트 티종 ; 탈루스 테일러 [공]글.그림 ; 이용분 옮김,시공주니어,2008,6882
칼릴 지브란,알렉상드르 나자르 지음 ; 용경식 옮김,작가정신,2007,6857
건축의 일곱 등불,존 러스킨 지음  ; 현미정 옮김,마로니에북스,2012,7221
밥상 혁명,강양구 ; 강이현 [공]지음,살림터,2010,4420
부두에서 일하며 사색하며,에릭 호퍼 지음  ; 정지호 옮김,동녘,2012,2106
피델 카스트로,베틀북 .편집부,베틀북,0,3888
미술교양,니콜라 호지 ; 리비 앤슨 [공]지음 ; 박진아 옮김,거름,2007,6426
양반전,박지원,삼성,2012,3897
"임진왜란. 4, 그 향기 그 힘으로",박종화 저,달궁,2004,6435
"꼭 읽어야 할 세계단편. 4, 독일편",송승환 편저,타임기획,2006,2273
조선의 프로페셔널 : 자신이 믿는 한가지 일에 조건 없이 도전한 사람들,안대회 지음,휴머니스트퍼블리싱컴퍼니,2007,8614
거리로 나간 피노키오,박영란 지음 ; 한호진 그림,기탄교육,2012,7691
인도신화기행,차창룡 지음,북하우스,2007,5539
공이 굴러가지? 그게 물리야!,김영대 글 ; 박묘광 그림,토토북,2009,1424
상처와 마주하라  : 고통은 삶의 연금술,마크 마토우세크 저  ; 이솔내 옮김,청아,2012,8597
그림 형제 동화집,그림 형제 지음 ; 아서 래컴 그림 ; 이옥용 옮김,보물창고,2012,3488
처음처럼,신영복 글.그림 ; 이승혁 ; 장지숙 [공]엮음,랜덤하우스코리아,2007,5014
졸업 후 내인생,제니 블레이크 지음  ; 이경아 옮김,알에이치코리아,2012,3916
신영복,신영복 지음,돌베개,2003,1892
돌원숭이. 2,제프리 디버 지음 ; 유소영 옮김,노블하우스,2006,4968
고문진보의 이해와 감상,박삼수 지음,울산대학교출판부,2009,2126
나는 조선의 외교관이다,최정희 지음  ; 서윤아 그림,북비,2011,7451
